"From.","To.","Rate","ID"
1,15,0.0025311969531016,1
1,21,8.55490003052149e-06,1
1,39,7.50493510115469e-07,1
15,1,0.0155794610025865,1
15,39,0.00232502631305848,1
21,1,0.0155778683055941,1
21,39,0.160880266359556,1
1,15,0.00153277027588903,10
1,21,0.0110510382972173,10
1,39,5.8398418141814e-05,10
15,1,0.00385336534314149,10
15,39,0.000399005889534523,10
21,1,0.00435626261863448,10
21,39,0.0152930586727145,10
1,15,0.00294919781468946,11
1,21,0.0161356329677046,11
15,1,0.0382098953046369,11
21,1,0.0184653279336476,11
21,39,0.0390166868831295,11
1,15,0.0421039552540677,12
1,21,3.47565300067329e-05,12
1,39,2.33820052588096e-05,12
15,1,0.00157544794123201,12
15,39,0.000431585699195769,12
21,1,0.000567540243620136,12
21,39,0.293839788238376,12
1,15,0.00692846836001618,13
1,21,0.00401806542419575,13
15,1,0.0195198129053533,13
15,39,5.10832652826339e-06,13
21,1,0.0286333194622967,13
21,39,4.3346855978941e-05,13
1,15,0.00600242789004216,14
1,21,0.00982921637542558,14
15,1,0.029577929157853,14
21,1,0.00453303518399983,14
21,39,0.0536462563243262,14
1,15,0.042312922051403,15
1,21,0.000434026129283933,15
15,1,0.00178375062151564,15
15,39,0.00135563421223739,15
21,1,0.0055796266189366,15
21,39,0.0687206655258158,15
1,15,0.0290769377690151,16
15,1,0.0034605942960814,16
1,15,0.00111062265917131,17
1,21,0.00980396599341226,17
15,1,0.000210115363044938,17
21,1,0.00731376105200879,17
21,39,0.0719337408037725,17
1,15,0.000307142502532803,18
1,21,0.000140415909935948,18
15,1,0.0471097862656877,18
21,1,0.16798813479748,18
1,15,0.0270892920515362,19
1,21,0.0129886160316039,19
1,39,5.36039661026919e-06,19
15,1,0.00676664092794316,19
15,39,0.000104004713254279,19
21,1,0.0155169406068655,19
21,39,0.00193558482897701,19
1,15,0.0156716618545309,2
1,21,0.00303154284467729,2
15,1,0.0151161800851979,2
15,39,0.00130019460277825,2
21,1,0.0129197075508846,2
21,39,0.0747253313744069,2
1,15,0.00208556239323988,20
1,21,0.00998843018648519,20
15,1,0.00230049355094905,20
15,39,0.000393720206437465,20
21,1,0.00306888866100448,20
21,39,0.0302702049909432,20
1,15,0.00292042172237481,21
1,21,0.0431045015583141,21
15,1,0.0181730799573608,21
21,1,0.00107772364669858,21
21,39,0.0740103853123599,21
1,15,0.0884502368739195,22
1,21,0.000225696201008321,22
15,1,0.0052299582556533,22
15,39,0.000167661845177247,22
21,1,0.00122629379695657,22
21,39,0.250136592401107,22
1,15,0.00519173794756739,23
1,21,0.00013387171795445,23
15,1,0.0400634143357892,23
15,39,0.000647147732443454,23
21,1,0.0111777811520767,23
21,39,0.202323982785113,23
1,15,0.00118045157335555,24
1,21,0.0141996300087116,24
15,1,0.000905129238952598,24
21,1,0.00176707975752263,24
21,39,0.00963509422911027,24
1,15,0.0100795842645032,3
1,21,0.0071162716482678,3
15,1,0.00497496100833797,3
15,39,0.000446501425949347,3
21,1,0.0146702190929717,3
21,39,0.0241139836181254,3
1,15,0.00626681742644539,4
1,21,0.0121872932062686,4
15,1,0.0326387207020792,4
21,1,0.0203683359344957,4
21,39,0.0571105663593127,4
1,15,0.00767381809791268,5
1,21,0.000767595170695919,5
15,1,0.00332889014326923,5
15,39,0.00207019650961116,5
21,1,0.00648512115223966,5
21,39,0.11869336887528,5
1,15,0.00881380300430233,6
1,21,0.000511083934089343,6
15,1,0.0135334167076284,6
15,39,4.16470541180214e-05,6
21,1,0.0130154960549307,6
21,39,0.0512508351300185,6
1,15,0.00794379245176539,7
1,21,0.00275685025360991,7
15,1,0.0161119966565843,7
21,1,0.00560328863996103,7
21,39,0.11114402416576,7
1,15,0.0406255367716835,8
1,21,0.000675895122319685,8
15,1,0.00502099541224058,8
15,39,0.00114141487633257,8
21,1,0.00348351977589477,8
21,39,0.0789881257831818,8
1,15,0.0166395137080195,9
1,21,3.70263439893326e-05,9
15,1,0.00442395313348463,9
15,39,0.00396197534568576,9
21,1,0.000205033477939334,9
21,39,0.088468034354021,9
